Model,TIME,RanC_cyt,sigma1,RanC_nuc,sigma2
base,0,0,1.00E-05,4.49E-04,1.00E-05
,1,0.0000331,1.00E-05,0.000223,1.00E-05
,2,0.0000284,1.00E-05,0.000121,1.00E-05
,3,0.0000209,1.00E-05,0.0000693,1.00E-05
,4,0.0000159,1.00E-05,0.0000419,1.00E-05
,5,0.0000131,1.00E-05,0.0000271,1.00E-05
,6,0.0000116,1.00E-05,0.0000192,1.00E-05
,7,0.0000108,1.00E-05,0.0000149,1.00E-05
,8,0.0000103,1.00E-05,0.0000125,1.00E-05
,9,0.0000101,1.00E-05,0.0000113,1.00E-05
,10,0.00000999,1.00E-05,0.0000106,1.00E-05
