Model,t,predicted_signal_norefl,predicted_signal_norefl_Sigma
base,0,22241.14733,120
,0.01,22241.14733,151
,0.02,22241.14733,120
,0.03,22241.14733,150
,0.06,22241.14733,150
,0.07,22241.14733,150
,0.08,22241.14733,150
,0.09,22241.14733,150
,0.13,22241.14733,150
,0.17,22241.14733,150
,0.21,22241.14733,150
,0.25,22241.14733,150
,0.29,22241.14733,150
,0.33,22241.14733,150
,0.37,22241.14733,150
,0.41,22241.14733,150
,0.45,22241.14733,150
,0.49,22241.14733,150
,0.53,22241.14733,150
,0.57,22241.14733,150
,0.61,22241.14733,150
,0.65,22241.14733,150
,0.69,22241.14733,150
,0.73,22241.14733,150
,0.77,22241.14733,150
,0.81,22241.14733,150
,0.85,22241.14733,150
,0.88,22241.14733,150
,0.91,22241.14733,150
,0.94,22241.14733,150
,0.97,22241.14733,150
,1,22218.79415,150
,1.1,22223.07164,150
,1.2,22187.02926,150
,1.3,22229.56609,150
,1.4,22199.70938,150
,1.5,22197.35419,150
,1.6,22518.02825,150
,1.7,22097.65893,150
,1.8,21749.20989,150
,1.9,21450.10494,150
,2,21249.21796,150
,2.1,21061.5328,150
,2.2,20890.48335,150
,2.3,20860.13824,150
,2.4,20780.13623,150
,2.5,20715.93138,150
,2.6,20677.556,150
,2.7,20630.77397,150
,2.8,20575.7669,150
,2.9,20490.9556,150
,3,20367.60545,150
,3.1,20344.38244,150
,3.2,20306.24823,150
,3.3,20218.65388,150
,3.4,20211.65994,150
,3.5,20177.89304,150
,3.6,20161.05954,150
,3.7,20148.62765,150
,3.8,20106.64581,150
,3.9,20100.09586,150
,4,20067.51261,150
,4.1,20058.38446,150
,4.2,20072.53784,150
,4.3,20030.87891,150
,4.4,20009.90212,150
,4.5,19955.91322,150
,4.6,19942.57316,150
,4.7,19922.63673,150
,4.8,19953.54793,150
,4.9,19968.51463,150
,5,19996.90111,150
,5.1,19982.06357,150
,5.2,19957.09183,150
,5.3,19930.71342,150
,5.4,19887.55701,150
,5.5,19873.90111,150
,5.6,19861.00101,150
,5.7,19847.21493,150
,5.8,19818.24723,150
,5.9,19845.61655,150
,6,19836.73158,150
,6.1,19856.27851,150
,6.2,19907.39657,150
,6.3,19923.26842,150
,6.4,19956.14329,150
,6.5,19975.55298,150
,6.6,19987.16145,150
,6.7,19954.10192,150
,6.8,19944.99697,150
,6.9,19935.17053,150
,7,19936.08981,150
,7.1,19893.43491,150
,7.2,19901.77901,150
,7.3,19913.56609,150
,7.4,19901.11504,150
,7.5,19891.72149,150
,7.6,19904.25933,150
,7.7,19896.4894,150
,7.8,19863.48032,150
,7.9,19862.09586,150
,8,19830.8113,150
,8.1,19777.41372,150
,8.2,19758.9223,150
,8.3,19772.30172,150
,8.4,19760.16448,150
,8.5,19737.28557,150
,8.6,19760.97881,150
,8.7,19515.86176,150
,8.8,19491.36024,150
,8.9,19475.76488,150
,9,19466.24823,150
,9.1,19475.31786,150
,9.2,19467.55096,150
,9.3,19495.58426,150
,9.4,19468.07265,150
,9.5,19455.83552,150
,9.6,19466.40565,150
,9.7,19532.96569,150
,9.8,19520.14228,150
,9.9,19529.01312,150
,10,19554.42785,150
,10.1,19584.12109,150
,10.2,19583.43592,150
,10.4,19581.89808,150
,10.6,19574.35621,150
,10.8,19574.48032,150
,11,19555.02523,150
,11.2,19517.14026,150
,11.4,19508.22301,150
,11.6,19504.37235,150
,11.8,19518.23209,150
,12,19519.8557,150
,12.2,19497.53885,150
,12.4,19485.20081,150
,12.6,19476.20383,156
,12.8,19505.38244,150
,13,19517.33804,150
,13.2,19519.96165,150
,13.4,19549.94147,150
,13.6,19537.14127,150
,13.8,19503.16145,150
,14,19562.14531,150
,14.2,19562.97679,150
,14.4,19574.22402,150
,14.6,19577.52371,150
,14.8,19597.30676,150
,15,19576.1644,150
