Time	MAPK	MAPK_P	MAPK_PP	MKK	MKK_P	MKK_PP	MKKK	MKKK_P
0	280	10	10	280	10	10	90	10
500	0.085616945	1.190804893	298.7235782	13.85199654	27.70826518	258.4397383	66.49118661	33.50881339
1000	3.436188037	10.19598366	286.3678283	204.900145	64.98097112	30.11888389	96.91630992	3.083690079
1500	160.5181265	58.50746551	80.97440804	291.3304139	6.879540259	1.79004586	87.45046281	12.54953719
2000	0.449415839	2.985483536	296.5651006	104.029992	79.22804638	116.7419616	68.44478982	31.55521018
2500	50.48890145	38.50675664	211.0043419	284.134246	14.58404927	1.281704771	95.90905307	4.090946932
3000	202.633305	60.4020242	36.96467075	244.2509957	32.35484786	23.39415647	55.55552674	44.44447326
3500	1.052042443	4.98666753	293.96129	144.5722832	85.64790511	69.77981171	90.08384944	9.916150561
4000	123.3112528	54.55875797	122.1299892	295.1877266	4.065184636	0.747088774	92.35024701	7.649752987
4500	17.28680444	66.92145442	215.7917411	126.5133638	70.94498178	102.5416544	54.692074	45.307926
5000	19.97985704	25.72738282	254.2927601	243.6624602	52.4290474	3.908492429	96.25883761	3.741162385
