Model,t,predicted_signal_norefl,predicted_signal_norefl_Sigma
base,0.5,22241.14733,.003
,1,22241.14733,.002
,1.5,22241.14733,.006
,2,22241.14733,.008
,2.5,22241.14733,.001
,3,22241.14733,.005
,3.5,22241.14733,.003
,4,22241.14733,.001
,4.5,22241.14733,.011
,5,22241.14733,.007
,5.5,22241.14733,.009
,6,22241.14733,.010
,6.5,22241.14733,.004
,7,22241.14733,.002
,7.5,22241.14733,.007
,8,22241.14733,.008
,8.5,22241.14733,.003
,9,22241.14733,.006
,9.5,22241.14733,.009
,10,22241.14733,.0014
,10.5,22241.14733,.015
,11,22241.14733,.016
,11.5,22241.14733,.018
,12,22241.14733,.011
,12.5,22241.14733,.019
,13,22241.14733,.011
,13.5,22241.14733,.003
,14,22241.14733,.006
,14.5,22241.14733,.013
,15,22241.14733,.017
,15.17939815,22241.14733,.019
,15.23958333,22218.79415,.012
,15.29861111,22223.07164,.013
,15.3587963,22187.02926,.014
,15.419,22229.56609,.015
,15.47916667,22199.70938,.016
,15.53819444,22197.35419,.017
,15.59837963,22518.02825,.018
,15.65856482,22097.65893,.019
,15.71875,21749.20989,.011
,15.77777778,21450.10494,.014
,15.83796296,21249.21796,.015
,15.89814815,21061.5328,.013
,15.95833333,20890.48335,.012
,16.01736111,20860.13824,.016
,16.0775463,20780.13623,.017
,16.13773148,20715.93138,.018
,16.19791667,20677.556,.013
,16.25694444,20630.77397,.018
,16.31712963,20575.7669,.011
,16.37731482,20490.9556,.005
,16.4375,20367.60545,.006
,16.49652778,20344.38244,.001
,16.55671296,20306.24823,.0001
,16.61689815,20218.65388,.01
,16.67708333,20211.65994,.01
,16.73611111,20177.89304,.005
,16.7962963,20161.05954,.012
,16.85648148,20148.62765,.014
,16.91666667,20106.64581,.015
,16.97569444,20100.09586,.018
,17.03587963,20067.51261,.011
,17.09606482,20058.38446,.003
,17.15625,20072.53784,.004
,17.21527778,20030.87891,.001
,17.27546296,20009.90212,.006
,17.33564815,19955.91322,.009
,17.39583333,19942.57316,.005
,17.45486111,19922.63673,.010
,17.5150463,19953.54793,.011
,17.57523148,19968.51463,.012
,17.63541667,19996.90111,.013
,17.69444444,19982.06357,.014
,17.75462963,19957.09183,.015
,17.81481482,19930.71342,.016
,17.875,19887.55701,.017
,17.93402778,19873.90111,.007
,17.99421296,19861.00101,.001
,18.05439815,19847.21493,.004
,18.11458333,19818.24723,.006
,18.17361111,19845.61655,.006
,18.2337963,19836.73158,.008
,18.29398148,19856.27851,.004
,18.35416667,19907.39657,.002
,18.41319444,19923.26842,.007
,18.47337963,19956.14329,.001
,18.53356482,19975.55298,.009
,18.59375,19987.16145,.011
,18.65277778,19954.10192,.018
,18.71296296,19944.99697,.017
,18.77314815,19935.17053,.016
,18.83333333,19936.08981,.013
,18.89236111,19893.43491,.014
,18.9525463,19901.77901,.015
,19.01273148,19913.56609,.019
,19.07291667,19901.11504,.018
,19.13194444,19891.72149,.017
,19.19212963,19904.25933,.016
,19.25231482,19896.4894,.015
,19.3125,19863.48032,.014
,19.37152778,19862.09586,.002
,19.43171296,19830.8113,.006
,19.49189815,19777.41372,.013
,19.55208333,19758.9223,.006
,19.61111111,19772.30172,.001
,19.6712963,19760.16448,.009
,19.73148148,19737.28557,.019
,19.79166667,19760.97881,.004
,19.85069444,19515.86176,.014
,19.91087963,19491.36024,.007
,19.97106482,19475.76488,.011
,20.03125,19466.24823,.005
,20.09027778,19475.31786,.013
,20.15046296,19467.55096,.014
,20.21064815,19495.58426,.016
,20.27083333,19468.07265,.018
,20.32986111,19455.83552,.011
,20.3900463,19466.40565,.009
,20.45023148,19532.96569,.016
,20.51041667,19520.14228,.02
,20.56944444,19529.01312,.002
,20.62962963,19554.42785,.06
,20.68981482,19584.12109,.07
,20.75,19583.43592,.08
,20.80902778,19581.89808,.02
,20.86921296,19574.35621,.03
,20.92939815,19574.48032,.01
,20.98958333,19555.02523,.03
,21.04861111,19517.14026,.04
,21.1087963,19508.22301,.02
,21.16898148,19504.37235,.06
,21.22916667,19518.23209,.043
,21.28819444,19519.8557,.023
,21.34837963,19497.53885,.012
,21.40856482,19485.20081,.043
,21.46875,19476.20383,.024
,21.52777778,19505.38244,.025
,21.58796296,19517.33804,.026
,21.64814815,19519.96165,.023
,21.70833333,19549.94147,.012
,21.76736111,19537.14127,.014
,21.8275463,19503.16145,.005
,21.88773148,19562.14531,.027
,21.94791667,19562.97679,.026
,22.00694444,19574.22402,.029
,22.06712963,19577.52371,.03
,22.12731482,19597.30676,.021
,22.1875,19576.1644,.02
