NoName[Time]	STAT5[Concentration]	STAT5p[Concentration]	STAT5p2c[Concentration]	data1[Concentration]	data2[Concentration]	frac_v1[Concentration]	frac_v2[Concentration]	frac_v4[Concentration]	STAT5p2n[Concentration]	frac_v3[Concentration]	Cytoplasm[Volume]	Nucleus[Volume]	r1[Value]	r3[Value]	r4[Value]	D[Value]	tao[Value]	r4_0[Value]	v1_0[Value]	smooth_D[Value]	smooth_D_slope[Value]	smooth_D_offset[Value]
0	1	0	0	0	1	0.840336	0	0	0	0	1	1	0.5	2	0	0	6	1.35	1.19	0	0.06385	0
1	0.383755	0.473855	0.0485259	0.570907	0.954662	0.322484	0.398197	0.0380992	0.0226691	0.0815561	1	1	0.5	2	0	0.06385	6	1.35	1.19	0.06385	0.06385	0
2	0.0216879	0.388511	0.0955767	0.579664	0.601352	0.0182251	0.32648	0.334998	0.199324	0.160633	1	1	0.5	2	0	0.1277	6	1.35	1.19	0.1277	0.06385	0
3	0.000180505	0.228073	0.0459904	0.320053	0.320234	0.000151685	0.191658	0.571232	0.339883	0.0772947	1	1	0.5	2	0	0.19155	6	1.35	1.19	0.19155	0.06385	0
4	2.21234e-007	0.156726	0.0199415	0.196609	0.19661	1.85911e-007	0.131703	0.675118	0.401695	0.0335152	1	1	0.5	2	0	0.2554	6	1.35	1.19	0.2554	0.06385	0
5	1.86996e-010	0.119324	0.0101135	0.139551	0.139551	1.5714e-010	0.100272	0.723066	0.430224	0.0169975	1	1	0.5	2	0	0.31925	6	1.35	1.19	0.31925	0.06385	0
6	-4.11394e-012	0.0963341	0.00601275	0.10836	0.10836	-3.4571e-012	0.080953	0.749278	0.44582	0.0101055	1	1	0.5	2	0	0.3831	6	1.35	1.19	0.3831	0.06385	0
7	2.00135e-010	0.0807719	0.00399555	0.088763	0.088763	1.6818e-010	0.0678756	0.765745	0.455618	0.00671521	1	1	0.5	2	0	0.44695	6	1.35	1.19	0.44695	0.06385	0
8	9.41688e-012	0.0695384	0.00285694	0.0752523	0.0752523	7.91335e-012	0.0584356	0.777099	0.462374	0.00480157	1	1	0.5	2	0	0.5108	6	1.35	1.19	0.5108	0.06385	0
9	-2.61619e-011	0.061048	0.00214814	0.0653443	0.0653443	-2.19848e-011	0.0513009	0.785425	0.467328	0.00361033	1	1	0.5	2	0	0.57465	6	1.35	1.19	0.57465	0.06385	0
10	6.6104e-014	0.0544054	0.00167546	0.0577563	0.0577563	5.55496e-014	0.0457188	0.791801	0.471122	0.0028159	1	1	0.5	2	0	0.6385	6	1.35	1.19	0.6385	0.06385	0
11	-3.783e-012	0.0490664	0.00134392	0.0517543	0.0517543	-3.17899e-012	0.0412323	0.796845	0.474123	0.00225869	1	1	0.5	2	0	0.70235	6	1.35	1.19	0.70235	0.06385	0
12	1.31629e-012	0.0446817	0.0011022	0.0468861	0.0468861	1.10613e-012	0.0375476	0.800936	0.476557	0.00185243	1	1	0.5	2	0	0.7662	6	1.35	1.19	0.7662	0.06385	0
